location,size(bhk),total_sqft,bath,balcony,price
Doddathoguru,2,970.0,2.0,0.0,3300000.0
Whitefield,2,1459.0,2.0,1.0,9482000.0
KR Puram,2,800.0,1.0,1.0,13000000.0
Himagiri Meadows,2,869.0,2.0,1.0,3600000.0
Adarsh Nagar,2,1270.0,2.0,1.0,5000000.0
Bhoganhalli,3,1670.0,3.0,1.0,9900000.0
Whitefield,3,2010.0,3.0,2.0,9100000.0
Lakshminarayana Pura,2,1185.0,2.0,2.0,7500000.0
Yelahanka,3,1600.0,2.0,3.0,7500000.0
Begur Road,2,1200.0,2.0,2.0,4400000.0
Ramakrishnappa Layout,2,1500.0,2.0,2.0,18500000.0
Murugeshpalya,6,1407.0,4.0,1.0,15000000.0
Govindaraja Nagar Ward,2,840.0,2.0,2.0,4500000.0
Tharabanahalli,3,4395.0,3.0,2.0,24000000.0
Ganga Nagar,2,845.0,2.0,1.0,5500000.0
Whitefield,4,5700.0,5.0,3.0,65000000.0
Varthur,2,1160.0,2.0,2.0,4400000.0
Bommanahalli,8,3000.0,8.0,0.0,14000000.0
Doddathoguru,2,1100.0,2.0,1.0,6200000.0
Gunjur,2,1140.0,2.0,3.0,4300000.0
Marathahalli,2,1220.0,2.0,1.0,5700000.0
Devarachikkanahalli,8,1350.0,7.0,0.0,8500000.0
Kanakpura Road,2,1005.0,2.0,1.0,3668000.0
Double Road,3,500.0,3.0,2.0,10000000.0
Begur Road,2,1358.0,2.0,1.0,8058000.0
Hegde Nagar,3,1569.0,3.0,1.0,10100000.0
Haralur Road,2,1240.0,2.0,1.0,7000000.0
Hennur Road,3,2089.0,3.0,2.0,14000000.0
Kothannur,2,1206.0,2.0,1.0,4823000.0
Kalena Agrahara,2,1150.0,2.0,3.0,4000000.0
Cholanayakanahalli,3,2511.0,3.0,3.0,20500000.0
Kaval Byrasandra,2,460.0,1.0,0.0,2200000.0
ISRO Layout,6,4400.0,6.0,3.0,25000000.0
Kodanda Reddy Layout,3,1660.0,2.0,2.0,10500000.0
Yelahanka,2,1326.0,2.0,2.0,7800000.0
Garudachar Palya,3,1325.0,2.0,2.0,6080000.0
EPIP Zone,3,1499.0,5.0,2.0,10200000.0
Hegde Nagar,6,3000.0,7.0,2.0,21000000.0
Kanakpura Road,3,1665.0,3.0,2.0,8800000.0
Dasanapura,2,708.0,2.0,2.0,3700000.0
Kasavanhalli,2,1060.0,2.0,2.0,5806000.0
Rajaji Nagar,6,710.0,6.0,3.0,16000000.0
Sanjay nagar,2,1000.0,2.0,2.0,7000000.0
Electronic City,2,1000.0,2.0,1.0,2888000.0
 Mysore Highway,3,1450.0,2.0,2.0,7000000.0
ISRO Layout,4,1200.0,4.0,2.0,15500000.0
Thanisandra,2,1296.0,2.0,3.0,8000000.0
Domlur,3,1540.0,3.0,2.0,9000000.0
Kengeri,4,2894.0,4.0,1.0,24500000.0
Sarjapura - Attibele Road,3,1330.0,2.0,1.0,4800000.0
Devasthanagalu,2,1200.0,2.0,1.0,6500000.0
T Dasarahalli,3,1200.0,3.0,1.0,9000000.0
Yeshwanthpur,3,2502.0,3.0,3.0,13800000.0
Chandapura,2,650.0,1.0,1.0,1700000.0
Kothanur,3,2400.0,2.0,1.0,15000000.0
Green View Layout,2,1007.0,2.0,2.0,4300000.0
Shantiniketan Layout,2,1200.0,2.0,2.0,5000000.0
Peenya,2,966.0,2.0,2.0,4990000.0
Nagarbhavi,3,1630.0,2.0,1.0,9800000.0
Rajaji Nagar,3,1640.0,3.0,2.0,22900000.0
Jalahalli West,2,782.0,2.0,2.0,5568000.0
Devanahalli,2,1260.0,2.0,2.0,6678000.0
Lakshmiamma Garden,3,1800.0,3.0,3.0,12000000.0
Byatarayanapura,3,1413.0,2.0,2.0,7500000.0
Whitefield,2,1116.0,2.0,1.0,5191000.0
Electronic City,3,1530.0,2.0,1.0,4590000.0
Ramamurthy Nagar,4,3700.0,4.0,1.0,22500000.0
Sarjapur  Road,3,2497.0,3.0,2.0,14000000.0
Kengeri,3,1540.0,2.0,3.0,6400000.0
Thanisandra,3,1436.0,3.0,1.0,7475000.0
Malleshwaram,2,1100.0,2.0,2.0,7500000.0
Hennur Road,2,276.0,3.0,3.0,2300000.0
Thanisandra,3,1427.0,3.0,2.0,12000000.0
Akshaya Nagar,3,2061.0,3.0,1.0,20000000.0
Shampura,4,2650.0,4.0,2.0,15000000.0
Devanahalli,3,1282.0,2.0,2.0,6852000.0
Kadugodi,2,1050.0,2.0,1.0,3400000.0
LB Shastri Nagar,3,1600.0,3.0,2.0,6500000.0
Vajarahalli,2,945.0,2.0,1.0,5400000.0
Hormavu,2,1500.0,2.0,1.0,7800000.0
Vishwapriya Layout,7,950.0,7.0,0.0,11500000.0
Peenya,3,1870.0,3.0,3.0,11000000.0
Sarjapur,3,1600.0,3.0,1.0,7500000.0
Electronic City,2,880.0,1.0,1.0,1650000.0
Ramaswamy Palya - Kammanahalli Main Road,4,1200.0,4.0,0.0,21000000.0
Kudlu Gate,3,1535.0,3.0,2.0,8300000.0
Kanakpura Road,2,950.0,2.0,1.0,5700000.0
Devanahalli,2,1360.0,2.0,1.0,6500000.0
Bommasandra Industrial Area,3,1280.0,3.0,1.0,5040000.0
Chandra Layout,3,1260.0,2.0,2.0,8505000.0
Yelahanka,5,3050.0,5.0,1.0,21300000.0
Kasavanhalli,3,1563.05,3.0,1.0,10500000.0
ISRO Layout,2,1000.0,2.0,1.0,6000000.0
Anandapura,2,1167.0,2.0,1.0,4376000.0
Vishveshwarya Layout,7,4000.0,7.0,2.0,22500000.0
Kengeri Satellite Town,2,890.0,2.0,1.0,3500000.0
Basavanapura,3,1612.0,3.0,3.0,4674000.0
Mysore Road,3,1710.0,4.0,2.0,9131000.0
Kannamangala,2,957.0,2.0,1.0,5800000.0
 Devarachikkanahalli,3,1250.0,2.0,3.0,4400000.0
Hulimavu,2,1125.0,2.0,2.0,5000000.0
Electronic City Phase II,2,1020.0,2.0,1.0,3060000.0
Kalena Agrahara,2,1200.0,2.0,2.0,5000000.0
Thanisandra,3,1735.0,3.0,3.0,13500000.0
Thanisandra,3,2050.0,3.0,1.0,14500000.0
Mahalakshmi Layout,4,3750.0,4.0,0.0,76000000.0
Yarandahalli,3,1350.0,2.0,3.0,4800000.0
Hosa Road,2,1063.0,2.0,1.0,3200000.0
Keshava Nagar,3,1904.0,3.0,1.0,15000000.0
Whitefield,4,4200.0,4.0,2.0,42000000.0
RMV Extension,3,2000.0,3.0,1.0,17500000.0
Tejaswini Nagar,3,1425.0,2.0,2.0,7500000.0
Electronic City,3,1500.0,2.0,1.0,6450000.0
Electronic City,2,1060.0,2.0,1.0,6000000.0
Jai Bheema Nagar,3,1470.0,2.0,2.0,7000000.0
Kothnur Narayanapura,6,1300.0,6.0,0.0,9900000.0
Attibele,1,450.0,1.0,1.0,1100000.0
Electronic City,2,1152.0,2.0,1.0,6450000.0
Electronic City,3,1350.0,2.0,1.0,5600000.0
CV Raman Nagar,3,1550.0,3.0,3.0,6500000.0
CHIKKATIRUPATHI,3,1500.0,3.0,2.0,10000000.0
Kumaraswami Layout,5,600.0,3.0,2.0,8500000.0
Nagavara,1,400.0,1.0,0.0,1400000.0
Malleshwaram,1,705.0,1.0,2.0,6700000.0
Electronic City,2,770.0,1.0,1.0,3600000.0
Hulimavu,2,1242.0,2.0,3.0,5100000.0
Hebbal Kempapura,3,1700.0,3.0,2.0,15500000.0
Thanisandra,3,2144.0,3.0,2.0,14500000.0
Vijayanagar,3,1704.0,3.0,2.0,11000000.0
Electronic City,2,1070.0,2.0,1.0,5200000.0
8th block Koramangala,3,1846.0,3.0,2.0,30000000.0
Jakkuru Layout,2,1340.0,2.0,2.0,5570000.0
Electronic City,2,1025.0,2.0,1.0,4600000.0
Marathahalli,2,1200.0,2.0,2.0,5200000.0
Kanakpura Road,4,2250.0,4.0,1.0,11000000.0
Pattandur Agrahara,3,1550.0,2.0,3.0,8000000.0
Ejipura,7,1800.0,7.0,1.0,25000000.0
Marathahalli,2,1200.0,2.0,2.0,6000000.0
Yelahanka,2,1327.0,2.0,2.0,9800000.0
Kothanur,2,1186.0,2.0,2.0,5800000.0
MS Pallya,3,1783.0,3.0,1.0,11500000.0
HSR Layout,3,1400.0,3.0,2.0,5600000.0
Nagasandra,2,980.0,2.0,1.0,4800000.0
EPIP Zone,2,1285.0,2.0,2.0,8200000.0
Langford Town,3,912.0,2.0,1.0,7000000.0
Whitefield,2,1225.0,2.0,2.0,4760000.0
Whitefield,2,1075.0,2.0,1.0,5300000.0
Kadugodi,3,1260.0,2.0,2.0,5400000.0
Yelahanka,3,1282.0,2.0,2.0,4870000.0
Kogilu,3,1909.0,3.0,2.0,8800000.0
Panathur,2,1359.0,2.0,1.0,8700000.0
Nagondanahalli,2,1207.0,2.0,2.0,4350000.0
Padmanabhanagar,4,1736.0,6.0,0.0,19000000.0
1st Block Jayanagar,4,2850.0,4.0,1.0,42800000.0
Kammasandra,3,1595.0,3.0,2.0,6500000.0
"Off Sarjapur Road, ",3,1798.0,3.0,2.0,8900000.0
Electronics City Phase 1,3,1475.0,3.0,2.0,7829000.000000001
Tala Cauvery Layout,3,1580.0,3.0,3.0,10000000.0
Dasarahalli,2,1295.0,2.0,1.0,6500000.0
Magadi Road,6,3600.0,6.0,0.0,14100000.0
Electronic City,1,589.0,1.0,1.0,2700000.0
Ngef Layout,3,1415.0,3.0,3.0,7800000.0
Sarjapur  Road,3,1787.0,3.0,2.0,9829000.0
Sarjapur  Road,3,1787.0,3.0,2.0,12500000.0
Koramangala,3,1475.0,2.0,3.0,9000000.0
"Lakshminarayanapura, Electronic City Phase 2",4,2000.0,4.0,1.0,7550000.0
Sarjapur  Road,2,984.0,2.0,1.0,4428000.0
Muthurayya Swamy Layout,3,2405.0,4.0,2.0,26000000.0
7th Phase JP Nagar,2,1080.0,2.0,2.0,7200000.0
Shantiniketan Layout,2,1500.0,2.0,1.0,11500000.0
Hebbal,3,1900.0,3.0,2.0,11900000.0
Dommasandra,2,805.0,2.0,1.0,2214000.0
Budigere,2,1153.0,2.0,2.0,5640000.0
Dodda Nekkundi Extension,2,1148.0,2.0,2.0,6000000.0
Mylasandra,2,1110.0,2.0,2.0,5500000.0
Electronic City,2,1100.0,2.0,2.0,4200000.0
Kalyan nagar,2,1290.0,2.0,2.0,11000000.0
Dr Shivarama Karantha Nagar,3,1500.0,2.0,1.0,6500000.0
Bank Of Baroda Colony,2,1080.0,2.0,2.0,3900000.0
Vijayanagar,3,1933.0,3.0,1.0,12900000.0
Ramamurthy Nagar,5,3500.0,5.0,2.0,15000000.0
Kullappa Colony,2,1060.0,2.0,2.0,6000000.0
Chandapura,1,645.0,1.0,1.0,1645000.0
Mukkutam Nagar,8,2600.0,8.0,2.0,18000000.0
Chandapura,1,645.0,1.0,1.0,1645000.0
Ashwath Nagar,3,1644.0,3.0,3.0,8400000.0
Ncpr Industrial Layout,2,1285.0,2.0,3.0,7250000.0
Electronic City,3,1200.0,3.0,1.0,9000000.0
Electronic City,2,910.0,2.0,1.0,4000000.0
Kothanur,3,1577.0,3.0,1.0,7000000.0
Meenakunte,3,4050.0,3.0,2.0,28000000.0
OMBR Layout,3,2420.0,3.0,2.0,18500000.0
Chandapura,2,800.0,1.0,1.0,2000000.0
Anand Nagar,2,1060.0,2.0,2.0,5500000.0
7th Phase JP Nagar,2,1270.0,2.0,2.0,9300000.0
Shree Ananth Nagar Layout,2,900.0,2.0,2.0,2250000.0
Kundalahalli Colony,2,1280.0,2.0,1.0,6900000.0
Horamavu Agara,4,1200.0,2.0,0.0,9500000.0
Sarjapur  Road,2,1025.0,2.0,2.0,3600000.0
Electronic City,2,1108.0,2.0,1.0,6300000.0
Coffee Board Layout,3,3045.0,3.0,2.0,17000000.0
Ambedkar Nagar,4,2900.0,3.0,2.0,30000000.0
Vijayanagar,3,1500.0,3.0,2.0,7550000.0
Raja Rajeshwari Nagar,2,1295.0,2.0,2.0,4390000.0
Budigere,2,1162.0,2.0,1.0,5990000.0
Sarjapur  Road,2,1035.0,2.0,2.0,4920000.0
Attibele,4,1600.0,4.0,0.0,5280000.0
KUDLU MAIN ROAD,3,1464.0,3.0,2.0,4600000.0
Hennur Road,3,1866.0,2.0,2.0,6158000.0
Geleyara Balaga Layout,2,700.0,1.0,1.0,2600000.0
Kalena Agrahara,3,1804.0,3.0,2.0,12000000.0
Sarjapur,2,913.0,2.0,1.0,3200000.0
Talaghattapura,3,1868.0,3.0,2.0,13100000.0
Kengeri Satellite Town,2,883.0,2.0,1.0,4500000.0
Sundara Nagar,2,900.0,2.0,1.0,11000000.0
Kogilu,3,1664.0,2.0,3.0,7395000.0
Hegde Nagar,3,2026.0,3.0,2.0,13200000.0
Balagere,2,1210.0,2.0,1.0,8090000.000000001
Meenakunte,4,4111.0,4.0,2.0,25000000.0
Kadugodi,3,1762.0,3.0,3.0,9145000.0
Jigani,3,1252.0,3.0,3.0,5500000.0
Gollarapalya Hosahalli,2,861.0,2.0,1.0,3450000.0
7th Phase JP Nagar,3,1420.0,2.0,1.0,10000000.0
Srirampura,6,1450.0,6.0,0.0,25000000.0
Electronics City Phase 1,3,1490.0,3.0,1.0,7880000.0
Bisuvanahalli,3,1075.0,2.0,1.0,4600000.0
Old Madras Road,3,1425.0,2.0,2.0,9400000.0
Kalena Agrahara,2,1200.0,2.0,1.0,4000000.0
Kaggadasapura,3,1280.0,2.0,2.0,5600000.0
Silver Springs Layout,2,1084.0,2.0,2.0,5000000.0
Chandapura,2,1015.0,2.0,2.0,2588000.0
Kanakpura Road,2,1017.0,2.0,1.0,5125000.0
Haralur Road,2,1027.0,2.0,2.0,4400000.0
Electronic City Phase II,2,1069.0,2.0,2.0,4500000.0
Hebbal,2,1349.0,2.0,1.0,9820000.0
9th Phase JP Nagar,2,1005.0,2.0,1.0,5000000.0
Jakkur,2,1417.0,2.0,3.0,7500000.0
TC Palaya,3,1475.0,3.0,1.0,9800000.0
Maruthi Sevanagar,2,950.0,2.0,2.0,4700000.0
RMV 2nd Stage,4,2000.0,4.0,0.0,12000000.0
Giri Nagar,3,880.0,3.0,1.0,14000000.0
Sarjapur  Road,4,1863.0,3.0,2.0,10400000.0
Singasandra,2,1010.0,2.0,1.0,2950000.0
Kalena Agrahara,3,1425.0,2.0,1.0,7000000.0
Vijayanagar,3,1450.0,3.0,0.0,10000000.0
Kothanur,3,1847.0,3.0,2.0,10500000.0
AECS Layout,2,1100.0,2.0,3.0,4500000.0
Kanakpura Road,1,525.0,1.0,1.0,2600000.0
Mallasandra,3,1665.0,3.0,2.0,9500000.0
Begur,4,1664.0,4.0,3.0,6500000.0
JP Nagar,3,1850.0,3.0,3.0,15000000.0
Panathur,2,1438.0,2.0,3.0,10000000.0
Sunder Ram Shetty Nagar,3,1560.0,3.0,3.0,11500000.0
Yelahanka,2,1350.0,2.0,1.0,5555000.0
Kanakpura Road,3,1550.0,3.0,3.0,6700000.0
Malleshpalya,2,1140.0,2.0,2.0,4650000.0
Srirampura,5,1200.0,5.0,2.0,18000000.0
Kodathi,2,850.0,2.0,2.0,2700000.0
Whitefield,2,1280.0,2.0,2.0,7500000.0
Munnekollal,2,1170.0,2.0,2.0,5200000.0
Motappa Layout,2,1113.0,2.0,1.0,5100000.0
Hennur Road,2,1385.0,2.0,1.0,8309000.0
Electronic City,2,1128.0,2.0,1.0,6500000.0
Marathahalli,2,1200.0,2.0,2.0,12800000.0
Akshaya Vana,4,1200.0,4.0,3.0,16500000.0
Rajaji Nagar,3,2390.0,3.0,2.0,41500000.0
Giri Nagar,4,2400.0,4.0,1.0,40000000.0
Haralur Road,3,1464.0,3.0,2.0,5600000.0
Manayata Tech Park,2,1200.0,2.0,2.0,5500000.0
Kaval Byrasandra,2,1200.0,2.0,2.0,5200000.0
Kaggalipura,3,1150.0,2.0,1.0,5500000.0
Basavanna Nagar,3,1645.0,3.0,2.0,9500000.0
Sarjapur  Road,2,1000.0,2.0,1.0,6700000.0
Haralur Road,4,2650.0,4.0,2.0,19800000.0
6th Phase JP Nagar,2,1192.0,2.0,2.0,7400000.0
Ulsoor,3,2135.0,3.0,2.0,21500000.0
Whitefield,2,1173.0,2.0,1.0,5800000.0
Uttarahalli,2,1020.0,2.0,2.0,4500000.0
Thigalarapalya,4,3122.0,6.0,2.0,23000000.0
Somasundara Palya,3,1600.0,3.0,3.0,6400000.0
T.C PALYA,2,1200.0,2.0,0.0,7900000.0
Muneshwara Nagar,2,1230.0,2.0,3.0,4800000.0
 Devarachikkanahalli,2,1250.0,2.0,2.0,4000000.0
Kalena Agrahara,2,1325.0,2.0,2.0,7600000.0
7th Phase JP Nagar,3,1850.0,3.0,1.0,15000000.0
Basaveshwara Nagar,2,1200.0,2.0,2.0,6500000.0
Bull Temple Road,3,1350.0,2.0,0.0,14000000.0
Bommasandra,3,1260.0,3.0,1.0,4936000.0
Prashanth Nagar,3,1800.0,3.0,0.0,15000000.0
Suragajakkanahalli,3,11.0,3.0,2.0,7400000.0
Ardendale,2,1100.0,2.0,1.0,4325000.0
Harlur,2,1508.0,2.0,1.0,7700000.0
Sampigehalli,3,1592.0,3.0,2.0,7500000.0
Akshaya Nagar,2,1388.0,2.0,3.0,5700000.0
Electronic City Phase II,1,630.0,1.0,1.0,2835000.0
RMV,3,2000.0,3.0,2.0,36500000.0
Banashankari3rd stage bigbazar,3,1762.0,3.0,1.0,12500000.0
Bagalur Main Road,2,950.0,2.0,2.0,5000000.0
Kodihalli,4,3252.0,5.0,3.0,33500000.0
Magadi Road,2,1116.0,2.0,1.0,5000000.0
Narayanapura,2,1308.0,2.0,2.0,8904000.0
MS Pallya,3,1200.0,3.0,0.0,9000000.0
Binny Mills Employees Colony,4,1500.0,4.0,2.0,23000000.0
Bannerghatta Road,1,500.0,1.0,1.0,1850000.0
Hennur,2,1075.0,2.0,1.0,5200000.0
Chandapura,1,530.0,1.0,0.0,1166000.0
Bellandur,2,1205.0,2.0,3.0,6600000.0
5th Phase JP Nagar,2,1075.0,2.0,2.0,6000000.0
KR Puram,2,930.0,2.0,2.0,3900000.0
Balagere,2,1380.0,2.0,1.0,6000000.0
Hebbal,4,2483.0,5.0,2.0,21200000.0
Kodigehaali,2,1166.0,2.0,2.0,5500000.0
Bannerghatta Road,2,1050.0,2.0,1.0,6500000.0
Gopalapura,3,2023.71,3.0,2.0,27500000.0
Begur Road,2,1200.0,2.0,2.0,4680000.0
Lakshminarayana Pura,3,1600.0,2.0,1.0,10800000.0
Billekahalli,3,1935.0,3.0,2.0,11000000.0
8th Phase JP Nagar,1,451.0,1.0,0.0,2990000.0
Electronic City,3,1800.0,3.0,2.0,9500000.0
Jalahalli,3,1400.0,3.0,0.0,7700000.0
Hegde Nagar,3,1801.0,3.0,2.0,11500000.0
Anekal,2,1200.0,1.0,1.0,3600000.0
Begur Road,2,1160.0,2.0,2.0,4400000.0
Kengeri,2,1000.0,2.0,1.0,2500000.0
Kanakpura Road,2,950.0,2.0,1.0,4000000.0
"Hoodi Circle, ",3,1629.0,3.0,2.0,7900000.0
Vijayanagar,3,1580.0,2.0,0.0,13400000.0
Vijayanagar,3,1826.0,3.0,2.0,12100000.0
7th Phase JP Nagar,2,1245.0,2.0,1.0,9400000.0
Raja Rajeshwari Nagar,2,1145.0,2.0,2.0,4579000.0
Sompura,2,825.0,2.0,1.0,3300000.0
Yeshwanthpur,3,1693.0,3.0,3.0,10800000.0
Electronics City Phase 1,2,1113.27,2.0,2.0,5300000.0
Ashirvad Colony,2,1460.0,2.0,1.0,5800000.0
Doddathoguru,2,1050.0,2.0,1.0,3200000.0
Dodda Nekkundi,2,1260.0,2.0,2.0,5500000.0
Hosur Road,2,1656.0,2.0,1.0,12000000.0
Chandapura,3,1208.0,3.0,1.0,4500000.0
Whitefield,3,1910.0,3.0,2.0,16100000.0
Whitefield,4,3252.0,4.0,1.0,23000000.0
Battarahalli,2,1200.0,2.0,1.0,6500000.0
Gokula Extension,4,1200.0,4.0,1.0,17500000.0
7th Phase JP Nagar,2,1175.0,2.0,1.0,8200000.0
Kamakshipalya,2,1000.0,2.0,0.0,16500000.0
Bannerghatta Road,4,1200.0,2.0,0.0,12500000.0
Rajaji Nagar,3,2390.0,3.0,2.0,41000000.0
Rajaji Nagar,7,12000.0,6.0,3.0,220000000.0
Sultan Palaya,2,550.0,1.0,1.0,6200000.0
Kengeri,2,750.0,2.0,1.0,3800000.0
Mahalakshmi Layout,6,1200.0,7.0,3.0,25000000.0
Kanakpura Road,3,1550.0,3.0,3.0,6450000.0
Amco Colony,3,1760.0,3.0,2.0,8800000.0
Billekahalli,2,1125.0,2.0,2.0,6200000.0
Nagarbhavi,3,1350.0,3.0,2.0,15000000.0
Anandapura,2,1000.0,2.0,1.0,5500000.0
Bommasandra Industrial Area,2,1090.0,2.0,2.0,3148000.0
TC Palaya,2,1200.0,2.0,0.0,6000000.0
Budigere,3,1991.0,4.0,2.0,10300000.0
Bommasandra,2,1060.0,2.0,1.0,2650000.0
Ambalipura,2,1105.0,2.0,1.0,7500000.0
Hoodi,2,985.0,2.0,2.0,6700000.0
Chandapura,6,1533.0,5.0,3.0,8500000.0
Balagere,3,1590.0,3.0,2.0,7900000.0
CV Raman Nagar,2,1120.0,2.0,2.0,5500000.0
Samethanahalli,2,1069.0,2.0,1.0,5500000.0
Marathahalli,3,1933.0,3.0,2.0,14000000.0
Hosur Road,2,1194.0,2.0,0.0,6900000.0
Brookefield,2,1150.0,2.0,3.0,6900000.0
Yelenahalli,2,1240.0,2.0,2.0,4712000.0
Raja Rajeshwari Nagar,2,1419.0,2.0,2.0,4810000.0
Suddaguntepalya,3,1450.0,3.0,2.0,5500000.0
Udayapur Village,3,1630.0,3.0,2.0,6829000.000000001
Dasanapura,2,708.0,1.0,1.0,4000000.0
Kasavanhalli,3,1000.0,4.0,3.0,11000000.0
Whitefield,4,11890.0,4.0,3.0,70000000.0
Bellandur,2,1250.0,2.0,1.0,7600000.0
7th Phase JP Nagar,3,1400.0,2.0,1.0,9500000.0
Sarjapur  Road,3,1670.0,2.0,3.0,5700000.0
Ardendale,3,1750.0,3.0,2.0,10000000.0
Vittasandra,2,1404.0,2.0,1.0,7100000.0
Hoodi,3,1715.0,2.0,2.0,9500000.0
Electronic City,1,630.0,1.0,1.0,3465000.0
Harlur,3,1752.12,3.0,2.0,13500000.0
Hulimavu,3,1650.0,3.0,2.0,7800000.0
Raja Rajeshwari Nagar,2,1295.0,2.0,1.0,5547000.0
Giri Nagar,3,1800.0,3.0,2.0,25200000.0
Sarjapur  Road,2,1346.0,2.0,1.0,7403000.0
Thippasandra,4,1200.0,4.0,2.0,20000000.0
Hormavu,2,1150.0,2.0,2.0,5500000.0
Chikkabidarakallu,4,3309.0,4.0,3.0,32500000.0
Chandapura,3,1190.0,2.0,2.0,3035000.0
AECS Layout,3,1620.0,3.0,2.0,9800000.0
Marathahalli,2,950.0,2.0,1.0,4696000.0
1 Giri Nagar,11,5000.0,9.0,3.0,36000000.0
Harlur,3,2450.0,3.0,0.0,12000000.0
Electronic City Phase II,3,1220.0,2.0,1.0,3522999.9999999995
Hoysalanagar,2,850.0,2.0,1.0,3000000.0
Padmanabhanagar,2,1020.0,2.0,2.0,6300000.0
Chikkalasandra,2,1100.0,2.0,2.0,5000000.0
Defence Colony,2,1150.0,2.0,2.0,12600000.0
Hebbal,3,1760.0,2.0,2.0,13000000.0
Ambalipura,3,1800.0,3.0,3.0,11000000.0
Akshaya Nagar,2,1070.0,2.0,1.0,5400000.0
2nd Stage Nagarbhavi,4,1500.0,4.0,2.0,22000000.0
Vidyaranyapura,2,1440.0,2.0,0.0,9500000.0
Amruthahalli,2,900.0,2.0,1.0,4000000.0
ITI Employees Layout,4,1200.0,4.0,1.0,23000000.0
Whitefield,2,1130.0,2.0,1.0,4216000.0
Koramangala,2,1320.0,2.0,1.0,16500000.0
Kodigehalli,2,1270.0,2.0,1.0,9800000.0
Patelappa Layout,2,1200.0,2.0,1.0,6200000.0
NS Palya,2,1200.0,2.0,1.0,7400000.0
Subramanyapura,2,929.0,2.0,0.0,5017000.0
RMV 2nd Stage,4,1150.0,4.0,2.0,26000000.0
Basavangudi,4,1125.0,4.0,3.0,18000000.0
Kenchenahalli,5,500.0,3.0,2.0,6500000.0
3rd Block Hrbr Layout,5,1200.0,5.0,2.0,19000000.0
KUDLU MAIN ROAD,3,1464.0,3.0,2.0,5600000.0
7th Phase JP Nagar,4,3600.0,4.0,3.0,40000000.0
Bank Avenue,4,2000.0,4.0,2.0,9900000.0
Chikkalasandra,2,1208.0,2.0,1.0,4900000.0
Hebbal Kempapura,2,1130.0,2.0,2.0,6000000.0
Surabhi Layout,3,1753.0,3.0,2.0,12000000.0
Old Madras Road,5,4500.0,7.0,3.0,33700000.0
Banjara Layout,3,600.0,3.0,2.0,5800000.0
Hoodi,2,1196.0,2.0,2.0,9442000.0
5th Phase JP Nagar,2,1150.0,3.0,3.0,5250000.0
Electronic City,2,1128.0,2.0,1.0,6300000.0
Omkar Nagar,2,1000.0,2.0,1.0,5300000.0
Yelahanka,2,1035.0,2.0,1.0,4500000.0
Kereguddadahalli,2,950.0,2.0,1.0,3200000.0
Bisuvanahalli,3,1075.0,2.0,1.0,3600000.0
Whitefield,2,1040.0,2.0,1.0,4850000.0
Maragondanahalli,2,720.0,2.0,1.0,4500000.0
Lingadheeranahalli,3,1511.0,3.0,1.0,9500000.0
